ArraySeq(history, इतिहास,  masculine, it̪iɦɑːsə, ə, sə, i, it, स, ास, इ, इत, 9, 6)
ArraySeq(television, दूरदर्शन,  masculine, d̪uːrəd̪ərɕənə, ə, nə, d, d̪, न, शन, द, दू, 14, 8)
ArraySeq(science, विज्ञान,  masculine, viɟɲɑːnə, ə, nə, v, vi, न, ान, व, वि, 8, 7)
ArraySeq(library, पुस्तकालय,  masculine, pust̪əkɑːləjə, ə, jə, p, pu, य, लय, प, पु, 13, 9)
ArraySeq(nature, प्रकृति,  feminine, prəkɹ̩t̪i, i, ̪i, p, pr, ि, ति, प, प्, 9, 7)
ArraySeq(fact, तथ्य,  masculine, t̪ət̪ʰjə, ə, jə, t, t̪, य, ्य, त, तथ, 8, 4)
ArraySeq(product, उत्पादन,  masculine, ut̪pɑːd̪ənə, ə, nə, u, ut, न, दन, उ, उत, 11, 7)
ArraySeq(idea, विचार,  masculine, vicɑːrə, ə, rə, v, vi, र, ार, व, वि, 7, 5)
ArraySeq(temperature, तापमान,  masculine, t̪ɑːpəmɑːnə, ə, nə, t, t̪, न, ान, त, ता, 11, 6)
ArraySeq(investment, निवेश,  masculine, niveːɕə, ə, ɕə, n, ni, श, ेश, न, नि, 7, 5)
ArraySeq(area, क्षेत्रफल,  masculine, kʂeːt̪rəpʰələ, ə, lə, k, kʂ, ल, फल, क, क्, 13, 9)
ArraySeq(society, समाज,  masculine, səmɑːɟə, ə, ɟə, s, sə, ज, ाज, स, सम, 7, 4)
ArraySeq(activity, कार्रवाई,  feminine, kɑːrrəvɑːiː, ː, iː, k, kɑ, ई, ाई, क, का, 11, 8)
ArraySeq(story, कहानी,  feminine, kəɦɑːniː, ː, iː, k, kə, ी, नी, क, कह, 8, 5)
ArraySeq(industry, उद्योग,  masculine, ud̪joːgə, ə, gə, u, ud, ग, ोग, उ, उद, 8, 6)
ArraySeq(media, मीडिया,  masculine, miːɖijɑː, ː, ɑː, m, mi, ा, या, म, मी, 8, 6)
